din,brand_name,company_name,active_ingredients,last_update
00015741,TAPAZOLE,KNIGHT THERAPEUTICS INC.,METHIMAZOLE 5 MG,24-DEC-2025
00015229,AVENTYL,AA PHARMA INC,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 10 MG,22-MAR-2025
00015237,AVENTYL,AA PHARMA INC,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE) 25 MG,22-MAR-2025
00050520,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,MINERAL OIL LIGHT 100 %,22-MAR-2025
00050466,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,METHYLENE BLUE 1 %,22-MAR-2025
00037818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00038202,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,WATER 30 ML,22-MAR-2025
00009881,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,PAPAVERINE HYDROCHLORIDE 65 MG,22-MAR-2025
00013609,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,DIMENHYDRINATE 100 MG,22-MAR-2025
00013617,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,SIMETHICONE 40 MG,22-MAR-2025
00001961,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE 5 %,22-MAR-2025
00001694,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 20 MG,22-MAR-2025
00038172,QUELICIN,PFIZER CANADA ULC,SUCCINYLCHOLINE CHLORIDE 20 MG,22-MAR-2025
00037834,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00213071,COSMEGEN,RECORDATI RARE DISEASES CANADA INC,DACTINOMYCIN 0.5 MG,05-DEC-2025
00035017,ALCON ATROPINE,ALCON CANADA INC,ATROPINE SULFATE 1 %,22-MAR-2025
00042676,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,DEXAMETHASONE 0.1 % / NEOMYCIN (NEOMYCIN SULFATE) 3.5 MG / POLYMYXIN B SULFATE 6000 UNIT,22-MAR-2025
00000981,MYDRIACYL,ALCON CANADA INC,TROPICAMIDE 0.5 %,22-MAR-2025
00016055,CUPRIMINE,"BAUSCH HEALTH, CANADA INC.",PENICILLAMINE 250 MG,22-MAR-2025
00021016,TEVA-QUININE,TEVA CANADA LIMITED,QUININE SULFATE 300 MG,22-MAR-2025
00024694,ATARAX,SEARCHLIGHT PHARMA INC,HYDROXYZINE HYDROCHLORIDE 10 MG,31-DEC-2025
00028096,CELESTONE SOLUSPAN,ORGANON CANADA INC.,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE) 3 MG / BETAMETHASONE ACETATE 3 MG,22-MAR-2025
00178799,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,PHENOBARBITAL 15 MG,22-MAR-2025
00178802,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,PHENOBARBITAL 30 MG,22-MAR-2025
00178810,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,PHENOBARBITAL 60 MG,22-MAR-2025
00178829,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,PHENOBARBITAL 100 MG,22-MAR-2025
00027243,"DIHYDROERGOTAMINE (DHE), 1MG/ML",STERIMAX INC,DIHYDROERGOTAMINE MESYLATE 1 MG,22-MAR-2025
00030910,CORTEF,PFIZER CANADA ULC,HYDROCORTISONE 10 MG,17-NOV-2025
00030929,CORTEF,PFIZER CANADA ULC,HYDROCORTISONE 20 MG,17-NOV-2025
00021695,TEVA-PREDNISONE,TEVA CANADA LIMITED,PREDNISONE 5 MG,22-MAR-2025
00021288,TEVA-PHENIRAM,TEVA CANADA LIMITED,CHLORPHENIRAMINE MALEATE 4 MG,22-MAR-2025
00001732,XYLOCAINE 1%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 10 MG,22-MAR-2025
00036641,XYLOCAINE 2%,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 20 MG,22-MAR-2025
00001791,XYLOCAINE 1% W EPINEPHRINE 1:100000,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 10 MG / EPINEPHRINE (EPINEPHRINE BITARTRATE) 0.01 MG,22-MAR-2025
00001805,XYLOCAINE 1% W EPINEPHRINE 1:200000,ASPEN PHARMACARE CANADA INC.,EPINEPHRINE (EPINEPHRINE BITARTRATE) 5 MCG / LIDOCAINE HYDROCHLORIDE 10 MG,22-MAR-2025
00074462,LOCACORTEN VIOFORM,KNIGHT THERAPEUTICS INC.,FLUMETHASONE PIVALATE 0.02 % / CLIOQUINOL 3 %,29-DEC-2025
00151874,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,NOVOCOL PHARMACEUTICAL OF CANADA INC,EPINEPHRINE (EPINEPHRINE BITARTRATE) 0.02 MG / LIDOCAINE HYDROCHLORIDE 20 MG,22-MAR-2025
00151866,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,NOVOCOL PHARMACEUTICAL OF CANADA INC,LIDOCAINE HYDROCHLORIDE 20 MG / EPINEPHRINE (EPINEPHRINE BITARTRATE) 0.01 MG,22-MAR-2025
00021008,TEVA-QUININE,TEVA CANADA LIMITED,QUININE SULFATE 200 MG,22-MAR-2025
00107875,FLEET ENEMA MINERAL OIL,C B FLEET COMPANY INC,MINERAL OIL 100 %,22-MAR-2025
00115630,LIBRAX,"BAUSCH HEALTH, CANADA INC.",CLIDINIUM BROMIDE 2.5 MG / CHLORDIAZEPOXIDE HYDROCHLORIDE 5 MG,22-MAR-2025
00023485,ZARONTIN SYRUP,SEARCHLIGHT PHARMA INC,ETHOSUXIMIDE 250 MG,22-MAR-2025
00022799,ZARONTIN,SEARCHLIGHT PHARMA INC,ETHOSUXIMIDE 250 MG,22-MAR-2025
00023949,THYROID,SEARCHLIGHT PHARMA INC,THYROID 30 MG,22-MAR-2025
00023957,THYROID,SEARCHLIGHT PHARMA INC,THYROID 60 MG,22-MAR-2025
00023965,THYROID,SEARCHLIGHT PHARMA INC,THYROID 125 MG,22-MAR-2025
00010405,TEGRETOL,NOVARTIS PHARMACEUTICALS CANADA INC,CARBAMAZEPINE 200 MG,15-MAY-2025
00021474,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,HYDROCHLOROTHIAZIDE 25 MG,22-MAR-2025
00001007,MYDRIACYL,ALCON CANADA INC,TROPICAMIDE 1 %,22-MAR-2025
00030767,DEPO-MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE ACETATE 80 MG,25-JUL-2025
00000809,ALCON TEARS 0.5%,ALCON CANADA INC,HYPROMELLOSE 0.5 %,22-MAR-2025
00000817,ALCON TEARS 1%,ALCON CANADA INC,HYPROMELLOSE 1 %,22-MAR-2025
00074500,VIOFORM HYDROCORTISONE,KNIGHT THERAPEUTICS INC.,CLIOQUINOL 3 % / HYDROCORTISONE 1 %,24-SEP-2025
00021482,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,HYDROCHLOROTHIAZIDE 50 MG,22-MAR-2025
00037796,SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00074454,LOCACORTEN VIOFORM EARDROPS,KNIGHT THERAPEUTICS INC.,CLIOQUINOL 1 % / FLUMETHASONE PIVALATE 0.02 %,29-DEC-2025
00176192,FIORINAL-C 1/4,ARALEZ PHARMACEUTICALS CANADA INC,CAFFEINE 40 MG / CODEINE PHOSPHATE 15 MG / BUTALBITAL 50 MG / ACETYLSALICYLIC ACID 330 MG,22-MAR-2025
00176206,FIORINAL-C 1/2,ARALEZ PHARMACEUTICALS CANADA INC,CAFFEINE 40 MG / CODEINE PHOSPHATE 30 MG / BUTALBITAL 50 MG / ACETYLSALICYLIC ACID 330 MG,22-MAR-2025
00029149,FUNGIZONE,CHEPLAPHARM ARZNEIMITTEL GMBH,AMPHOTERICIN B 50 MG,22-MAR-2025
00001147,ALBALON,ABBVIE CORPORATION,NAPHAZOLINE HYDROCHLORIDE 0.1 %,18-JUN-2025
00036323,LOMOTIL,PFIZER CANADA ULC,DIPHENOXYLATE HYDROCHLORIDE 2.5 MG / ATROPINE SULFATE .025 MG,22-MAR-2025
00012750,MATULANE,"LEADIANT BIOSCIENCES, INC",PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE) 50 MG,22-MAR-2025
00155357,ADRENALIN,SEARCHLIGHT PHARMA INC,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE) 1 MG,16-OCT-2025
00050024,CODEINE PHOSPHATE SYRUP,LABORATOIRE ATLAS INC,CODEINE PHOSPHATE 25 MG,22-MAR-2025
00024325,SINEQUAN,AA PHARMA INC,DOXEPIN (DOXEPIN HYDROCHLORIDE) 10 MG,22-MAR-2025
00024333,SINEQUAN,AA PHARMA INC,DOXEPIN (DOXEPIN HYDROCHLORIDE) 25 MG,22-MAR-2025
00024341,SINEQUAN,AA PHARMA INC,DOXEPIN (DOXEPIN HYDROCHLORIDE) 50 MG,22-MAR-2025
00004618,MYLERAN,ASPEN PHARMACARE CANADA INC.,BUSULFAN 2 MG,22-MAR-2025
00004723,PURINETHOL,TEVA CANADA LIMITED,MERCAPTOPURINE 50 MG,22-MAR-2025
00022772,DILANTIN,BGP PHARMA ULC,PHENYTOIN SODIUM 30 MG,22-MAR-2025
00022780,DILANTIN,BGP PHARMA ULC,PHENYTOIN SODIUM 100 MG,22-MAR-2025
00023698,DILANTIN INFATABS,BGP PHARMA ULC,PHENYTOIN 50 MG,22-MAR-2025
00065927,NEO-LARYNGOBIS,TEVA CANADA LIMITED,BISMUTH DIPROPYLACETATE 135 MG,22-MAR-2025
00020885,TEVA-AMPICILLIN,TEVA CANADA LIMITED,AMPICILLIN (AMPICILLIN TRIHYDRATE) 500 MG,22-MAR-2025
00020877,TEVA-AMPICILLIN,TEVA CANADA LIMITED,AMPICILLIN (AMPICILLIN TRIHYDRATE) 250 MG,22-MAR-2025
00036137,SOLU-MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE) 1 G,22-JUL-2025
00030678,SOLU-MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE (METHYLPREDNISOLONE SODIUM SUCCINATE) 500 MG,22-JUL-2025
00030759,DEPO-MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE ACETATE 40 MG,25-JUL-2025
00035076,ALCAINE,ALCON CANADA INC,PROPARACAINE HYDROCHLORIDE 0.5 %,27-OCT-2025
00038024,MANNITOL INJECTION USP,PFIZER CANADA ULC,MANNITOL 25 %,22-MAR-2025
00004596,IMURAN,ASPEN PHARMACARE CANADA INC.,AZATHIOPRINE 50 MG,22-MAR-2025
00004626,LEUKERAN,ASPEN PHARMACARE CANADA INC.,CHLORAMBUCIL 2 MG,22-MAR-2025
00004715,ALKERAN,ASPEN PHARMACARE CANADA INC.,MELPHALAN 2 MG,22-MAR-2025
00224391,KETALAR,SEARCHLIGHT PHARMA INC,KETAMINE (KETAMINE HYDROCHLORIDE) 10 MG,22-MAR-2025
00224405,KETALAR,SEARCHLIGHT PHARMA INC,KETAMINE (KETAMINE HYDROCHLORIDE) 50 MG,22-MAR-2025
00225851,DALACIN C FLAVOURED GRANULES,PFIZER CANADA ULC,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE) 75 MG,22-MAR-2025
00226327,FIORINAL,ARALEZ PHARMACEUTICALS CANADA INC,BUTALBITAL 50 MG / ACETYLSALICYLIC ACID 330 MG / CAFFEINE 40 MG,22-MAR-2025
00037826,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,SODIUM CHLORIDE 9 MG,22-MAR-2025
00037621,NITROSTAT,BGP PHARMA ULC,NITROGLYCERIN 0.6 MG,22-MAR-2025
00037613,NITROSTAT,BGP PHARMA ULC,NITROGLYCERIN 0.3 MG,22-MAR-2025
00230197,KIDS GRAVOL LIQUID,CHURCH & DWIGHT CANADA CORP,DIMENHYDRINATE 15 MG,22-MAR-2025
00232378,TEVA-PREDNISONE,TEVA CANADA LIMITED,PREDNISONE 50 MG,22-MAR-2025
00232807,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE) 50.0 MG,22-MAR-2025
00232823,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE) 25.0 MG,22-MAR-2025
00232831,TEVA-CHLORPROMAZINE,TEVA CANADA LIMITED,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE) 100 MG,22-MAR-2025
00236683,CARBOLITH,"BAUSCH HEALTH, CANADA INC.",LITHIUM CARBONATE 300 MG,22-MAR-2025
00036129,MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE 16 MG,23-JUL-2025
00030988,MEDROL,PFIZER CANADA ULC,METHYLPREDNISOLONE 4 MG,23-JUL-2025
00023760,NORLUTATE,SEARCHLIGHT PHARMA INC,NORETHINDRONE ACETATE 5 MG,22-MAR-2025
00028606,ALDACTONE 25 MG,PFIZER CANADA ULC,SPIRONOLACTONE 25 MG,23-FEB-2026
00247855,FML,ABBVIE CORPORATION,FLUOROMETHOLONE 0.1 %,22-MAR-2025
00247960,ETIBI,"BAUSCH HEALTH, CANADA INC.",ETHAMBUTOL HYDROCHLORIDE 100 MG,15-OCT-2025
00247979,ETIBI,"BAUSCH HEALTH, CANADA INC.",ETHAMBUTOL HYDROCHLORIDE 400 MG,15-OCT-2025
00155365,ADRENALIN TOPICAL SOLUTION,SEARCHLIGHT PHARMA INC,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE) 1 MG,22-MAR-2025
00252506,CYCLOGYL,ALCON CANADA INC,CYCLOPENTOLATE HYDROCHLORIDE 1 %,22-MAR-2025
00254142,DULCOLAX,SANOFI CONSUMER HEALTH INC,BISACODYL 5 MG,22-MAR-2025
00003875,DULCOLAX,SANOFI CONSUMER HEALTH INC,BISACODYL 10 MG,22-MAR-2025
00260428,DEPO-MEDROL WITH LIDOCAINE,PFIZER CANADA ULC,METHYLPREDNISOLONE ACETATE 40 MG / LIDOCAINE HYDROCHLORIDE 10 MG,30-JUL-2025
00260436,DALACIN C PHOSPHATE,PFIZER CANADA ULC,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE) 150 MG,22-MAR-2025
00061085,"LACTATED RINGER'S INJECTION, USP",BAXTER CORPORATION,SODIUM CHLORIDE 600 MG / POTASSIUM CHLORIDE 30 MG / SODIUM LACTATE 310 MG / CALCIUM CHLORIDE 20 MG,22-MAR-2025
00263818,COTAZYM,ORGANON CANADA INC.,LIPASE 10000 UNIT / PROTEASE 35000 UNIT / AMYLASE 40000 UNIT,22-MAR-2025
00266493,TARDAN SHP,ODAN LABORATORIES LTD,TRICLOSAN 0.3 % / SALICYLIC ACID 2 % / COAL TAR 5 %,22-MAR-2025
00266507,ADASEPT LIQ 0.5%,ODAN LABORATORIES LTD,TRICLOSAN 0.5 %,22-MAR-2025
00061131,"LACTATED RINGER'S AND 5% DEXTROSE INJECTION, USP",BAXTER CORPORATION,SODIUM CHLORIDE 600 MG / SODIUM LACTATE 310 MG / CALCIUM CHLORIDE 20 MG / POTASSIUM CHLORIDE 30 MG / DEXTROSE 5 G,22-MAR-2025
00038016,MANNITOL INJECTION USP,ICU MEDICAL CANADA INC,MANNITOL 20 %,22-MAR-2025
00224227,LMD 10% IN 0.9% SODIUM CHLORIDE,PFIZER CANADA ULC,SODIUM CHLORIDE 0.9 % / DEXTRAN 10 %,22-MAR-2025
00224235,LMD 10% IN DEXTROSE 5%,PFIZER CANADA ULC,DEXTRAN 10 % / DEXTROSE 5 %,22-MAR-2025
00039470,LACTATED RINGER'S INJECTION,ICU MEDICAL CANADA INC,CALCIUM CHLORIDE 0.2 MG / SODIUM LACTATE 3.1 MG / POTASSIUM CHLORIDE 0.3 MG / SODIUM CHLORIDE 6 MG,22-MAR-2025
00038903,5% DEXTROSE AND 0.45% SODIUM CHLORIDE,ICU MEDICAL CANADA INC,DEXTROSE 50 MG / SODIUM CHLORIDE 4.5 MG,22-MAR-2025
00280437,CORTISONE ACETATE,"BAUSCH HEALTH, CANADA INC.",CORTISONE ACETATE 25 MG,22-MAR-2025
00282081,LANVIS,ASPEN PHARMACARE CANADA INC.,THIOGUANINE 40 MG,22-MAR-2025
00284106,XYLOCAINE 2% W EPINEPHRINE 1:200000,ASPEN PHARMACARE CANADA INC.,LIDOCAINE HYDROCHLORIDE 20 MG / EPINEPHRINE (EPINEPHRINE BITARTRATE) 5 MCG,22-MAR-2025
00292990,OVOL FOR GAS 80 MG TABLET,CHURCH & DWIGHT CANADA CORP,SIMETHICONE 80 MG,22-MAR-2025
00261998,SODIUM BICARBONATE INJECTION USP,PFIZER CANADA ULC,SODIUM BICARBONATE 84 MG,22-MAR-2025
00298409,PHENOL SALINE INJ,ALK-ABELLO INC,SODIUM CHLORIDE 0.9 % / PHENOL 0.4 %,27-JUN-2025
00298417,GLYCERINATED PHENOL SALINE,ALK-ABELLO INC,PHENOL 0.4 % / SODIUM CHLORIDE 0.9 % / GLYCERINE 50 %,27-JUN-2025
00299979,ALLERGENIC EXTRACT NON POLLENS,ALK-ABELLO INC,NON POLLEN 100000 UNIT,27-JUN-2025
00299987,ALLERGENIC EXTRACT POLLENS,ALK-ABELLO INC,POLLEN 100000 UNIT,27-JUN-2025
00301175,PRED FORTE,ABBVIE CORPORATION,PREDNISOLONE ACETATE 1 %,22-MAR-2025
00022381,CORTROSYN INJ 0.25MG,"AMPHASTAR PHARMACEUTICALS, INC.",TETRACOSACTIDE 0.25 MG,22-MAR-2025
00324019,ANAFRANIL,APOTEX INC,CLOMIPRAMINE HYDROCHLORIDE 25 MG,22-MAR-2025
00326925,SINEQUAN,AA PHARMA INC,DOXEPIN (DOXEPIN HYDROCHLORIDE) 100 MG,22-MAR-2025
00323071,DIPROSONE,ORGANON CANADA INC.,BETAMETHASONE (BETAMETHASONE DIPROPIONATE) 0.05 %,22-MAR-2025
00317268,TUBERSOL,SANOFI VACCINES CANADA LTD.,PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN 5 TUB,22-MAR-2025
00312738,NITROFURANTOIN,AA PHARMA INC,NITROFURANTOIN 100 MG,25-JUL-2025
00319511,NITROFURANTOIN,AA PHARMA INC,NITROFURANTOIN 50 MG,25-JUL-2025
00026123,SENOKOT S,INOVA PHARMACEUTICALS (AUSTRALIA) PTY LIMITED,SENNOSIDES 8.6 MG / DOCUSATE SODIUM 50 MG,26-SEP-2025
00330582,EFUDEX,"BAUSCH HEALTH, CANADA INC.",FLUOROURACIL 5 %,22-MAR-2025
00285455,ALDACTONE 100 MG,PFIZER CANADA ULC,SPIRONOLACTONE 100 MG,23-FEB-2026
00299561,CREO-RECTAL ADULTES/ADULTS,LABORATOIRES CONFAB INC,DIPHENYLPYRALINE HYDROCHLORIDE 1.5 MG / CAMPHOR 5 MG / GUAIACOL CARBONATE 600 MG,22-MAR-2025
00299596,CREO-RECTAL ENFANTS/CHILDREN,LABORATOIRES CONFAB INC,GUAIACOL CARBONATE 200 MG / CAMPHOR 2 MG / DIPHENYLPYRALINE HYDROCHLORIDE 0.5 MG,22-MAR-2025
00297763,BICNU,MARCAN PHARMACEUTICALS INC,CARMUSTINE 100 MG,27-JUN-2025
00330566,ANAFRANIL,APOTEX INC,CLOMIPRAMINE HYDROCHLORIDE 10 MG,22-MAR-2025
00328693,PRE-PEN,ALK-ABELLO INC,BENZYLPENICILLOYL-POLYLYSINE 0.000060 M,27-JUN-2025
00312797,APO-IMIPRAMINE TABLETS,APOTEX INC,IMIPRAMINE HYDROCHLORIDE 25 MG,27-JAN-2026
00326852,APO-IMIPRAMINE TABLETS,APOTEX INC,IMIPRAMINE HYDROCHLORIDE 50 MG,27-JAN-2026
00335088,ELAVIL,AA PHARMA INC,AMITRIPTYLINE HYDROCHLORIDE 50 MG,22-MAR-2025
00030600,SOLU-CORTEF,PFIZER CANADA ULC,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 100 MG,17-NOV-2025
00030619,SOLU-CORTEF,PFIZER CANADA ULC,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 250 MG,17-NOV-2025
00030627,SOLU-CORTEF,PFIZER CANADA ULC,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 500 MG,17-NOV-2025
00030635,SOLU-CORTEF,PFIZER CANADA ULC,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE) 1 G,17-NOV-2025
00337765,TEVA-CLOXACILLIN,TEVA CANADA LIMITED,CLOXACILLIN (CLOXACILLIN SODIUM) 250 MG,22-MAR-2025
00337773,TEVA-CLOXACILLIN,TEVA CANADA LIMITED,CLOXACILLIN (CLOXACILLIN SODIUM) 500 MG,22-MAR-2025
00344923,DIPROSONE,ORGANON CANADA INC.,BETAMETHASONE (BETAMETHASONE DIPROPIONATE) 0.05 %,22-MAR-2025
00337730,TEVA-FUROSEMIDE,TEVA CANADA LIMITED,FUROSEMIDE 20 MG,22-MAR-2025
00335096,PERPHENAZINE,AA PHARMA INC,PERPHENAZINE 16 MG,15-SEP-2025
00335118,PERPHENAZINE,AA PHARMA INC,PERPHENAZINE 8 MG,15-SEP-2025
00335126,PERPHENAZINE,AA PHARMA INC,PERPHENAZINE 4 MG,15-SEP-2025
00335134,PERPHENAZINE,AA PHARMA INC,PERPHENAZINE 2 MG,15-SEP-2025
00000868,ISOPTO CARPINE,NOVARTIS PHARMACEUTICALS CANADA INC,PILOCARPINE HYDROCHLORIDE 2 %,22-MAR-2025
00358177,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,POLYMYXIN B SULFATE 6000 UNIT / DEXAMETHASONE 0.1 % / NEOMYCIN (NEOMYCIN SULFATE) 3.5 MG,22-MAR-2025
00370991,PRO-AMITRIPTYLINE,PRO DOC LIMITEE,AMITRIPTYLINE HYDROCHLORIDE 10 MG,06-NOV-2025
00371009,PRO-AMITRIPTYLINE,PRO DOC LIMITEE,AMITRIPTYLINE HYDROCHLORIDE 25 MG,06-NOV-2025
00360201,APO-IMIPRAMINE TABLETS,APOTEX INC,IMIPRAMINE HYDROCHLORIDE 10 MG,27-JAN-2026
00337749,TEVA-FUROSEMIDE,TEVA CANADA LIMITED,FUROSEMIDE 40 MG,22-MAR-2025
00360279,APO-CHLORTHALIDONE,APOTEX INC,CHLORTHALIDONE 50 MG,22-MAR-2025
00360252,METHYLDOPA,AA PHARMA INC,METHYLDOPA 125 MG,08-MAY-2025
00360260,METHYLDOPA,AA PHARMA INC,METHYLDOPA 250 MG,08-MAY-2025
00362166,APO-FUROSEMIDE,APOTEX INC,FUROSEMIDE 40 MG,22-MAR-2025
00363812,BUSCOPAN,SANOFI CONSUMER HEALTH INC,HYOSCINE BUTYLBROMIDE 10 MG,22-MAR-2025
00363839,BUSCOPAN,SANOFI CONSUMER HEALTH INC,HYOSCINE BUTYLBROMIDE 20 MG,22-MAR-2025
00375799,LIGNOSPAN FORTE,SEPTODONT,EPINEPHRINE (EPINEPHRINE BITARTRATE) 36 MCG / LIDOCAINE HYDROCHLORIDE 36 MG,22-MAR-2025
00037869,POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP,PFIZER CANADA ULC,POTASSIUM CHLORIDE 149 MG,22-MAR-2025
00360422,CEENU,BRISTOL-MYERS SQUIBB CANADA,LOMUSTINE 40 MG,22-MAR-2025
00360430,CEENU,BRISTOL-MYERS SQUIBB CANADA,LOMUSTINE 10 MG,22-MAR-2025
00375780,LIGNOSPAN STANDARD,SEPTODONT,LIDOCAINE HYDROCHLORIDE 36 MG / EPINEPHRINE 18 MCG,22-MAR-2025
00382825,RIVOTRIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CLONAZEPAM 0.5 MG,02-JUL-2025
00382841,RIVOTRIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CLONAZEPAM 2 MG,02-JUL-2025
00386685,LIPIODOL ULTRA FLUID,GUERBET,IODINE (ETHIODIZED OIL) 380 MG,18-MAR-2026
00042560,MAXIDEX,NOVARTIS PHARMACEUTICALS CANADA INC,DEXAMETHASONE 0.1 %,22-MAR-2025
00362158,DIAZEPAM,AA PHARMA INC,DIAZEPAM 5 MG,22-MAR-2025
00400688,PROSTIN E2 TABLETS,PFIZER CANADA ULC,DINOPROSTONE 0.5 MG,22-MAR-2025
00386464,PROLOPA CAP 100-25,HOFFMANN-LA ROCHE LIMITED,LEVODOPA 100 MG / BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE) 25 MG,22-MAR-2025
00386472,PROLOPA CAP 200-50,HOFFMANN-LA ROCHE LIMITED,LEVODOPA 200 MG / BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE) 50 MG,22-MAR-2025
00364304,ISOCAINE HCL INJ 3%,NOVOCOL PHARMACEUTICAL OF CANADA INC,MEPIVACAINE HYDROCHLORIDE 30 MG,22-MAR-2025
00396761,PRIMIDONE,AA PHARMA INC,PRIMIDONE 250 MG,17-NOV-2025
00399310,PRIMIDONE,AA PHARMA INC,PRIMIDONE 125 MG,17-NOV-2025
00400750,SINEQUAN,AA PHARMA INC,DOXEPIN (DOXEPIN HYDROCHLORIDE) 75 MG,22-MAR-2025
00319724,DEMO-CINEOL ENFANTS/CHILDREN,LABORATOIRES CONFAB INC,EUCALYPTOL 185 MG / CAMPHOR 20 MG / GUAIACOL 90 MG / GUAIACOL CARBONATE 100 MG,22-MAR-2025
00312363,CHLOROMYCETIN SUCCINATE INJECTION,SEARCHLIGHT PHARMA INC,CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE) 1 G,22-MAR-2025
00396788,APO-FUROSEMIDE,APOTEX INC,FUROSEMIDE 20 MG,22-MAR-2025
00393746,PRILOCAINE HCL 4% EPINEPH 1:200000INJ,NOVOCOL PHARMACEUTICAL OF CANADA INC,PRILOCAINE HYDROCHLORIDE 40 MG / EPINEPHRINE 0.005 MG,22-MAR-2025
00397792,PRO-FUROSEMIDE,PRO DOC LIMITEE,FUROSEMIDE 40 MG,22-MAR-2025
00405345,FLUPHENAZINE,AA PHARMA INC,FLUPHENAZINE HYDROCHLORIDE 1 MG,22-MAR-2025
00405361,FLUPHENAZINE,AA PHARMA INC,FLUPHENAZINE HYDROCHLORIDE 5 MG,22-MAR-2025
00410632,FLUPHENAZINE,AA PHARMA INC,FLUPHENAZINE HYDROCHLORIDE 2 MG,22-MAR-2025
00343617,ROFACT,"BAUSCH HEALTH, CANADA INC.",RIFAMPIN 300 MG,22-MAR-2025
00393444,ROFACT,"BAUSCH HEALTH, CANADA INC.",RIFAMPIN 150 MG,22-MAR-2025
00417246,DIPROSONE,ORGANON CANADA INC.,BETAMETHASONE (BETAMETHASONE DIPROPIONATE) 0.05 %,22-MAR-2025
00392545,CONFAB DIMENHYDRINATE 100 MG,LABORATOIRES CONFAB INC,DIMENHYDRINATE 100 MG,22-MAR-2025
00392553,CONFAB DIMENHYDRINATE 50 MG,LABORATOIRES CONFAB INC,DIMENHYDRINATE 50 MG,22-MAR-2025
00037915,DEXTROSE INJECTION USP,ICU MEDICAL CANADA INC,DEXTROSE 50 MG,22-MAR-2025
