din,brand_name,company_name,active_ingredients,last_update
02548860,SPORT ACTIVE DEFENSE SUNSCREEN SPF 70,KENVUE CANADA INC.,HOMOSALATE 15 % / AVOBENZONE 3 % / OCTOCRYLENE 10 % / OCTISALATE 5 %,11-SEP-2025
02548879,APIXABAN,SANIS HEALTH INC,APIXABAN 2.5 MG,25-NOV-2025
02548887,APIXABAN,SANIS HEALTH INC,APIXABAN 5 MG,25-NOV-2025
02548909,WAINUA,ASTRAZENECA CANADA INC,EPLONTERSEN (EPLONTERSEN SODIUM) 45 MG,18-SEP-2025
02548933,LAXATIVE,PHARMASCIENCE INC,POLYETHYLENE GLYCOL 3350 100 %,31-DEC-2025
02548941,KIDS SUNSCREEN SPRAY,KENVUE CANADA INC.,AVOBENZONE 3 % / OCTISALATE 5 % / HOMOSALATE 15 % / OCTOCRYLENE 10 %,11-SEP-2025
02548968,ARGATROBAN,SANDOZ CANADA INCORPORATED,ARGATROBAN 1 MG,22-MAR-2025
02548984,IXCHIQ,VALNEVA AUSTRIA GMBH,CHIKUNGUNYA VIRUS LIVE-ATTENUATED 3 Log10 TCID50,04-MAR-2026
02549018,SANDOZ SACUBITRIL-VALSARTAN,SANDOZ CANADA INCORPORATED,VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 26 MG / SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 24 MG,16-OCT-2025
02549026,SANDOZ SACUBITRIL-VALSARTAN,SANDOZ CANADA INCORPORATED,SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 49 MG / VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 51 MG,16-OCT-2025
02549034,SANDOZ SACUBITRIL-VALSARTAN,SANDOZ CANADA INCORPORATED,SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 97 MG / VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX) 103 MG,16-OCT-2025
02549107,FAMOTIDINE,SIVEM PHARMACEUTICALS ULC,FAMOTIDINE 20 MG,22-MAR-2025
02549115,FAMOTIDINE,SIVEM PHARMACEUTICALS ULC,FAMOTIDINE 40 MG,22-MAR-2025
02549123,EBGLYSS,ELI LILLY CANADA INC,LEBRIKIZUMAB 250 MG,06-FEB-2026
02549131,EBGLYSS,ELI LILLY CANADA INC,LEBRIKIZUMAB 250 MG,06-FEB-2026
02549158,ACH-PROGESTERONE,ACCORD HEALTHCARE INC,PROGESTERONE 100 MG,16-FEB-2026
02549174,COOLA HYDRATING SUNSCREEN LOTION TROPICAL COCONUT SCENT,COOLA LLC,OCTOCRYLENE 3.75 % / HOMOSALATE 2.5 % / AVOBENZONE 1.75 % / OCTISALATE 1.5 %,13-JAN-2026
02549182,COOLA HYDRATING SUNSCREEN LOTION FRAGRANCE FREE,COOLA LLC,OCTISALATE 2 % / OCTOCRYLENE 5 % / HOMOSALATE 5 % / AVOBENZONE 1.75 %,13-JAN-2026
02549190,ODAN-VALPROIC ACID,ODAN LABORATORIES LTD,VALPROIC ACID (SODIUM VALPROATE) 250 MG,28-JAN-2026
02549220,ZILBRYSQ,UCB CANADA INC,ZILUCOPLAN (ZILUCOPLAN SODIUM) 16.6 MG,01-APR-2025
02549239,ZILBRYSQ,UCB CANADA INC,ZILUCOPLAN (ZILUCOPLAN SODIUM) 23 MG,01-APR-2025
02549247,ZILBRYSQ,UCB CANADA INC,ZILUCOPLAN (ZILUCOPLAN SODIUM) 32.4 MG,10-JUN-2025
02549271,JAMP ZOPICLONE,JAMP PHARMA CORPORATION,ZOPICLONE 3.75 MG,27-MAR-2025
02549360,DAYQUIL KIDS HONEY,PROCTER & GAMBLE INC,DEXTROMETHORPHAN HYDROBROMIDE 10 MG,21-JUL-2025
